name,group,year,value,subGroup,city_id,lastValue,lat,lon
Agra,India,1575,200,India,Agra - India,200,27.18333,78.01667
Agra,India,1576,212,India,Agra - India,200,27.18333,78.01667
Agra,India,1577,224,India,Agra - India,212,27.18333,78.01667
Agra,India,1578,236,India,Agra - India,224,27.18333,78.01667
Agra,India,1579,248,India,Agra - India,236,27.18333,78.01667
Agra,India,1580,260,India,Agra - India,248,27.18333,78.01667
Agra,India,1581,272,India,Agra - India,260,27.18333,78.01667
Agra,India,1582,284,India,Agra - India,272,27.18333,78.01667
Agra,India,1583,296,India,Agra - India,284,27.18333,78.01667
Agra,India,1584,308,India,Agra - India,296,27.18333,78.01667
Agra,India,1585,320,India,Agra - India,308,27.18333,78.01667
Agra,India,1586,332,India,Agra - India,320,27.18333,78.01667
Agra,India,1587,344,India,Agra - India,332,27.18333,78.01667
Agra,India,1588,356,India,Agra - India,344,27.18333,78.01667
Agra,India,1589,368,India,Agra - India,356,27.18333,78.01667
Agra,India,1590,380,India,Agra - India,368,27.18333,78.01667
Agra,India,1591,392,India,Agra - India,380,27.18333,78.01667
Agra,India,1592,404,India,Agra - India,392,27.18333,78.01667
Agra,India,1593,416,India,Agra - India,404,27.18333,78.01667
Agra,India,1594,428,India,Agra - India,416,27.18333,78.01667
Agra,India,1595,440,India,Agra - India,428,27.18333,78.01667
Agra,India,1596,452,India,Agra - India,440,27.18333,78.01667
Agra,India,1597,464,India,Agra - India,452,27.18333,78.01667
Agra,India,1598,476,India,Agra - India,464,27.18333,78.01667
Agra,India,1599,488,India,Agra - India,476,27.18333,78.01667
Agra,India,1600,500,India,Agra - India,488,27.18333,78.01667
Agra,India,1601,500,India,Agra - India,500,27.18333,78.01667
Agra,India,1602,500,India,Agra - India,500,27.18333,78.01667
Agra,India,1603,500,India,Agra - India,500,27.18333,78.01667
Agra,India,1604,500,India,Agra - India,500,27.18333,78.01667
Agra,India,1605,500,India,Agra - India,500,27.18333,78.01667
Agra,India,1606,500,India,Agra - India,500,27.18333,78.01667
Agra,India,1607,500,India,Agra - India,500,27.18333,78.01667
Agra,India,1608,500,India,Agra - India,500,27.18333,78.01667
Agra,India,1609,500,India,Agra - India,500,27.18333,78.01667
Agra,India,1610,500,India,Agra - India,500,27.18333,78.01667
Agra,India,1611,496.428571428571,India,Agra - India,500,27.18333,78.01667
Agra,India,1612,492.857142857143,India,Agra - India,496.428571428571,27.18333,78.01667
Agra,India,1613,489.285714285714,India,Agra - India,492.857142857143,27.18333,78.01667
Agra,India,1614,485.714285714286,India,Agra - India,489.285714285714,27.18333,78.01667
Agra,India,1615,482.142857142857,India,Agra - India,485.714285714286,27.18333,78.01667
Agra,India,1616,478.571428571429,India,Agra - India,482.142857142857,27.18333,78.01667
Agra,India,1617,475,India,Agra - India,478.571428571429,27.18333,78.01667
Agra,India,1618,471.428571428571,India,Agra - India,475,27.18333,78.01667
Agra,India,1619,467.857142857143,India,Agra - India,471.428571428571,27.18333,78.01667
Agra,India,1620,464.285714285714,India,Agra - India,467.857142857143,27.18333,78.01667
Agra,India,1621,460.714285714286,India,Agra - India,464.285714285714,27.18333,78.01667
Agra,India,1622,457.142857142857,India,Agra - India,460.714285714286,27.18333,78.01667
